开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）
20200501,20200531,642989,花生活鲜花（春季花艺）,鲜花组,安徽省,合肥,否,20151223,在线,18.0,17.9,10126,607,60,45,5.99,9.88,58,49,20048.00,10078.00,11765.00,1,0,0,0,1,0,0,1,0,59,0,0,35,11,31.43,4,1,1,3.6,3.6,3.9,0.0,,
20200501,20200531,653643,花生活鲜花（雅景花艺）,鲜花组,广东省,东莞,否,20190422,在线,14.0,14.5,11374,443,50,45,3.89,11.29,48,45,14325.00,7239.00,8782.00,0,0,0,0,0,0,0,0,11,47,0,0,23,20,86.96,10,0,0,1.8,1.8,1.8,0.0,,
20200501,20200531,714142,花生活鲜花（情意浓花店）,鲜花组,浙江省,温州,否,20160129,在线,18.0,18.5,6026,576,59,54,9.56,10.24,61,59,17543.00,8872.50,10925.00,0,0,0,0,0,0,0,0,33,62,0,1,41,32,78.05,16,2,0,4.9,4.9,5.0,2.0,,
20200501,20200531,772683,花生活鲜花（杏福花店）,鲜花组,福建省,厦门,否,20160329,在线,17.0,16.9,7255,445,48,31,6.13,10.79,48,33,9733.00,5100.00,5900.00,14,14,0,0,0,0,0,0,0,34,0,0,31,11,35.48,6,0,0,0.0,0.0,0.0,0.0,,
20200501,20200531,783170,花生活鲜花（香香花店）,鲜花组,福建省,厦门,否,20160328,下线,15.0,15.1,11590,356,37,9,3.07,10.39,40,9,2610.00,1218.00,1704.00,14,13,1,0,0,0,0,1,0,18,0,0,12,6,50,2,0,0,0.0,0.0,0.0,0.0,,
20200501,20200531,799254,花生活鲜花（花好月缘鲜花店）,鲜花组,福建省,莆田,否,20160322,在线,18.0,18.0,7885,278,20,17,3.53,7.19,20,18,5616.00,2847.00,3389.00,1,0,1,0,0,0,0,0,0,19,0,0,12,9,75,5,1,0,0.0,0.0,0.0,0.0,,
20200501,20200531,833749,花生活鲜花（卉轩鲜花礼品店）,鲜花组,宁夏回族自治区,银川,否,20190801,在线,5.0,5.4,2755,61,4,2,2.21,6.56,5,2,746.00,352.00,462.00,1,1,0,0,0,0,0,0,0,3,0,0,4,2,50,1,0,0,0.0,0.0,0.0,0.0,,
20200501,20200531,1330090,花生活鲜花（唯美花艺）,鲜花组,云南省,大理白族自治州,否,20160816,在线,14.0,14.3,7334,373,9,8,5.09,2.41,11,9,2150.00,1024.00,1477.00,2,1,1,0,0,0,0,0,0,9,0,0,7,5,71.43,1,0,0,0.0,0.0,0.0,0.0,,
20200501,20200531,1523142,花生活鲜花（明珠鲜花坊）,鲜花组,青海省,西宁,否,20160921,在线,14.0,14.6,14801,663,64,49,4.48,9.65,64,50,14836.00,6821.00,9920.00,5,4,0,0,1,0,0,1,2,65,0,1,33,14,42.42,6,2,3,1.1,1.1,1.3,1.0,,
20200501,20200531,1696175,花生活鲜花（520鲜花园艺）,鲜花组,上海市,上海,否,20161103,在线,18.0,18.4,8073,349,55,47,4.32,15.76,55,48,14881.00,7234.90,9517.00,3,1,0,0,2,0,0,0,18,53,0,3,27,19,70.37,2,2,0,1.4,1.4,1.5,3.0,,
20200501,20200531,1937925,花生活鲜花（花心苑花店）,鲜花组,湖北省,荆州,否,20170103,在线,18.0,17.9,8339,147,12,10,1.76,8.16,12,10,2581.00,1216.00,1706.00,0,0,0,0,0,0,0,0,0,12,0,0,6,3,50,1,0,0,0.0,0.0,0.0,0.0,,
20200501,20200531,1971869,花生活鲜花（嘿花哨花艺）,鲜花组,贵州省,遵义,否,20170116,在线,17.0,17.3,3149,181,20,15,5.75,11.05,16,16,4450.00,2272.00,2792.00,0,0,0,0,0,0,0,0,0,16,0,0,12,11,91.67,9,0,0,0.0,0.0,0.0,0.0,,
20200501,20200531,2006070,花生活鲜花（伊馨花坊）,鲜花组,上海市,上海,否,20170213,在线,17.0,17.8,7334,397,65,60,5.41,16.37,66,60,18179.00,9034.20,11409.00,4,4,0,0,0,0,0,0,23,62,0,3,33,15,45.45,9,1,0,1.6,1.6,1.8,3.0,,
20200501,20200531,2019807,花生活鲜花（爱荷花坊）,鲜花组,福建省,厦门,否,20170214,在线,17.0,17.6,9197,312,40,12,3.39,12.82,40,13,4618.00,2217.00,2854.00,25,24,0,1,0,0,0,0,0,20,0,0,13,10,76.92,1,0,1,0.0,0.0,0.0,0.0,,
20200501,20200531,2045211,花生活鲜花（阳光花坊）,鲜花组,江西省,南昌,否,20170222,在线,18.0,18.3,11655,467,51,46,4.01,10.92,49,46,12834.00,6293.00,8281.00,0,0,0,0,0,0,0,0,27,48,0,3,32,24,75,12,2,0,1.3,1.3,1.8,4.0,,
20200501,20200531,2068451,花生活鲜花（花语人生）,鲜花组,福建省,厦门,否,20170224,在线,17.0,17.7,13555,490,64,25,3.61,13.06,69,25,7626.00,3733.00,4824.00,28,28,0,0,0,0,0,1,1,38,0,0,24,13,54.17,6,1,0,1.5,1.5,1.5,0.0,,
20200501,20200531,2095123,花生活鲜花（遇见花艺馆）,鲜花组,湖南省,郴州,否,20170303,在线,22.0,22.4,23239,3743,495,439,16.11,13.22,499,481,145096.00,68103.00,95316.00,3,0,0,0,2,0,1,0,0,504,0,0,311,234,75.24,127,10,0,4.6,4.6,4.9,0.0,,
20200501,20200531,2174771,花生活鲜花（九零花坊）,鲜花组,上海市,上海,否,20170324,在线,17.0,17.4,5905,478,74,66,8.09,15.48,73,66,18889.00,10098.10,11359.00,0,0,0,0,0,0,0,1,26,71,0,1,34,14,41.18,7,0,0,0.2,0.2,0.2,1.0,,
20200501,20200531,2220100,花生活鲜花（花花世界鲜花）,鲜花组,湖北省,十堰,否,20170327,在线,12.0,12.4,9639,577,60,37,5.99,10.4,57,37,10649.00,5541.40,6520.60,6,4,0,0,1,1,0,1,0,50,0,0,41,34,82.93,19,2,0,0.0,0.0,0.0,0.0,,
20200501,20200531,2329256,花生活鲜花（七彩坊鲜花店）,鲜花组,福建省,泉州,否,20170526,在线,17.0,17.4,6261,301,54,44,4.81,17.94,52,45,12810.00,7087.00,7478.00,5,5,0,0,0,0,0,0,2,47,0,0,20,14,70,7,1,0,1.3,1.3,1.4,0.0,,
20200501,20200531,2402349,花生活鲜花（静静花艺银盛路店）,鲜花组,宁夏回族自治区,银川,否,20170430,在线,18.0,18.0,5393,238,14,10,4.41,5.88,14,10,2954.00,1135.00,2160.00,2,0,0,0,2,0,0,0,0,14,0,0,7,4,57.14,3,0,0,0.0,0.0,0.0,0.0,,
20200501,20200531,2482113,花生活鲜花（玫瑰坊）,鲜花组,江苏省,镇江,否,20170515,在线,4.0,4.9,4262,51,5,0,1.2,9.8,4,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,,
20200501,20200531,2527715,花生活鲜花（情缘鲜花店遵义店）,鲜花组,贵州省,遵义,否,20170519,在线,18.0,18.0,8785,576,70,63,6.56,12.15,69,65,19191.00,9377.00,12254.00,0,0,0,0,0,0,0,0,0,67,0,0,35,17,48.57,9,3,0,1.5,1.5,1.6,0.0,,
20200501,20200531,2622811,花生活鲜花（品蕊花屋）,鲜花组,四川省,宜宾,否,20170606,在线,15.0,15.3,9928,515,50,41,5.19,9.71,52,42,12806.00,6059.00,8360.00,1,0,1,0,0,0,0,0,0,51,0,0,40,34,85,21,1,1,1.5,1.5,1.6,0.0,,
20200501,20200531,2666240,花生活鲜花（祥和鲜花）,鲜花组,山东省,青岛,否,20170612,在线,16.0,16.1,8727,697,64,52,7.99,9.18,60,53,16789.00,7696.00,11090.00,5,4,0,0,0,0,1,0,24,58,0,2,37,28,75.68,14,1,0,4.0,4.0,4.0,2.0,,
20200501,20200531,2880558,花生活鲜花（创意花坊）,鲜花组,安徽省,合肥,否,20170712,在线,18.0,18.2,15285,1148,93,74,7.51,8.1,90,76,22067.00,11226.00,13710.00,2,0,0,0,2,0,0,0,8,88,0,1,65,55,84.62,25,2,0,1.2,1.2,1.2,3.0,,
20200501,20200531,2922099,花生活鲜花（小草堂花艺生活馆）,鲜花组,山西省,太原,否,20170721,在线,17.0,17.2,10624,443,49,29,4.17,11.06,46,31,10358.00,5099.00,6414.00,2,1,1,0,0,0,0,0,0,41,0,0,31,14,45.16,7,1,4,1.4,1.4,1.6,0.0,,
20200501,20200531,3018522,花生活鲜花（源达花艺）,鲜花组,湖南省,常德,否,20170814,在线,18.0,17.8,8476,675,99,87,7.96,14.67,94,92,31774.00,15310.20,19933.00,0,0,0,0,0,0,0,0,0,93,0,0,35,32,91.43,26,0,0,3.7,3.7,3.7,0.0,,
20200501,20200531,3027069,花生活鲜花（艺都鲜花）,鲜花组,浙江省,宁波,否,20170801,在线,14.0,14.0,5412,240,22,20,4.43,9.17,23,20,5781.00,2729.00,3827.00,0,0,0,0,0,0,0,0,10,25,0,4,17,15,88.24,12,2,0,0.0,0.0,0.0,4.0,,
